fband,netst,stlo,stla,meanb,meanQ,ncount
1.0-2.0,CI.CTW,-115.872139,33.67728,0.3,31.416,1
1.0-2.0,CI.CVW,-118.939133,34.922169,0.12,78.54,1
1.0-2.0,CI.CWP,-117.557747,33.557976,0.13,72.498,1
1.0-2.0,CI.CZN,-116.784088,33.91375,0.02,471.239,1
1.0-2.0,CI.DAN,-115.381149,34.637451,0.18,52.36,1
1.0-2.0,CI.DEC,-118.333832,34.253529,0.19,49.604,1
1.0-2.0,CI.DEV,-116.577942,33.93597,0.08,117.81,1
1.0-2.0,CI.DGR,-117.009468,33.650009,0.01,942.478,1
1.0-2.0,CI.DLA,-118.096237,33.848221,0.05,188.496,1
1.0-2.0,CI.DNR,-116.630562,33.566669,0.23,40.977,1
1.0-2.0,CI.DZA,-116.774773,32.606571,0.57,16.535,1
1.0-2.0,CI.EOC,-119.769409,34.450291,0.01,942.478,1
1.0-2.0,CI.ERR,-115.82267,33.116749,0.31,30.403,1
1.0-2.0,CI.FDR,-118.934334,35.64262,0.03,314.159,1
1.0-2.0,CI.FHO,-116.935883,34.093552,0.14,67.32,1
1.0-2.0,CI.FMP,-118.293808,33.712639,0.24,39.27,1
1.0-2.0,CI.FOX2,-118.240463,34.733898,0.01,942.478,1
1.0-2.0,CI.FRK,-115.638351,33.402088,0.16,58.905,1
1.0-2.0,CI.FUR,-116.86322,36.46703,0.12,78.54,1
1.0-2.0,CI.GATR,-120.50235,34.552662,0.25,37.699,1
1.0-2.0,CI.GDF,-118.916763,34.479301,0.01,942.478,1
1.0-2.0,CI.GFS,-120.214355,34.476604,0.26,36.249,1
1.0-2.0,CI.GLA,-114.827057,33.051491,0.23,40.977,1
1.0-2.0,CI.GOR,-117.22921,33.153702,0.03,314.159,1
1.0-2.0,CI.GOU,-118.188339,34.221191,0.11,85.68,1
1.0-2.0,CI.GR2,-118.30024,34.11816,0.17,55.44,1
1.0-2.0,CI.GRA,-117.366211,36.996078,0.2,47.124,1
1.0-2.0,CI.HAR,-117.299088,35.011398,0.23,40.977,1
1.0-2.0,CI.HDH,-118.639992,34.775291,0.06,157.08,1
1.0-2.0,CI.HEC,-116.334999,34.829399,0.18,52.36,1
1.0-2.0,CI.HHL,-119.748581,34.600796,0.31,30.403,1
1.0-2.0,CI.HIW,-115.384232,35.039982,0.12,78.54,1
1.0-2.0,CI.HLL,-118.359673,34.17643,0.04,235.619,1
1.0-2.0,CI.HMT2,-117.001526,33.708115,0.1,94.248,1
1.0-2.0,CI.HOL,-117.84539,34.458309,0.2,47.124,1
1.0-2.0,CI.HRV,-118.804398,34.727112,0.01,942.478,1
1.0-2.0,CI.HYS,-117.569748,34.865318,0.26,36.249,1
1.0-2.0,CI.IDO,-116.221519,33.79678,0.19,49.604,1
1.0-2.0,CI.IPT,-117.284981,34.19701,0.15,62.832,1
1.0-2.0,CI.JEM,-116.597549,33.080978,1.35,6.981,1
1.0-2.0,CI.JNH2,-117.955406,34.44894,0.18,52.36,1
1.0-2.0,CI.JPLS,-118.173683,34.205299,0.29,32.499,1
1.0-2.0,CI.JTH,-116.037849,34.126438,0.05,188.496,1
1.0-2.0,CI.JVA,-116.612663,34.366219,0.1,94.248,1
1.0-2.0,CI.KML,-117.879089,33.597382,0.12,78.54,1
1.0-2.0,CI.KYV,-116.173401,33.925449,0.19,49.604,1
1.0-2.0,CI.LAF,-118.331429,33.868889,0.05,188.496,1
1.0-2.0,CI.LAT,-118.776428,34.044491,0.23,40.977,1
1.0-2.0,CI.LCG,-118.377937,34.000332,0.26,36.249,1
1.0-2.0,CI.LCP,-120.279961,34.735512,0.16,58.905,1
1.0-2.0,CI.LDF,-115.184158,35.130661,0.1,94.248,1
1.0-2.0,CI.LDR,-118.34156,34.990601,0.15,62.832,1
1.0-2.0,CI.LFP,-118.488052,34.30529,0.11,85.68,1
1.0-2.0,CI.LGB,-118.149178,33.9753,0.15,62.832,1
1.0-2.0,CI.LJR,-118.867752,34.807621,0.22,42.84,1
1.0-2.0,CI.LKH,-116.758759,33.235981,0.04,235.619,1
1.0-2.0,CI.LLS,-117.943039,33.684471,0.18,52.36,1
1.0-2.0,CI.LMH,-117.39135,33.744179,0.04,235.619,1
1.0-2.0,CI.LMY,-119.103912,34.733166,0.08,117.81,1
1.0-2.0,CI.LOC,-120.446899,34.690735,0.01,942.478,1
1.0-2.0,CI.LPC,-117.546417,34.314781,0.18,52.36,1
1.0-2.0,CI.LRR2,-118.029984,34.527061,0.24,39.27,1
1.0-2.0,CI.LTP,-118.175682,33.8811,0.07,134.64,1
1.0-2.0,CI.LUC2,-116.964233,34.456379,0.13,72.498,1
1.0-2.0,CI.LUG,-117.366829,34.365601,0.19,49.604,1
1.0-2.0,CI.LUS,-117.163048,33.013748,0.05,188.496,1
1.0-2.0,CI.LVO,-119.883873,34.555798,0.13,72.498,1
1.0-2.0,CI.LVY,-119.156357,34.17408,0.13,72.498,1
1.0-2.0,CI.MCT,-116.040733,34.226452,0.42,22.44,1
1.0-2.0,CI.MGE,-116.368736,33.818409,0.41,22.987,1
1.0-2.0,CI.MLAC,-118.836052,37.630192,0.07,134.64,1
1.0-2.0,CI.MLS,-117.561623,34.004601,0.13,72.498,1
1.0-2.0,CI.MOP,-118.904694,34.28096,0.05,188.496,1
1.0-2.0,CI.MOR,-117.139931,33.50388,0.07,134.64,1
1.0-2.0,CI.MPI,-119.145302,34.81258,0.01,942.478,1
1.0-2.0,CI.MPP,-119.813622,34.888481,0.07,134.64,1
1.0-2.0,CI.MSC,-116.647949,34.038521,0.14,67.32,1
1.0-2.0,CI.MSJ,-116.967888,33.80801,0.05,188.496,1
1.0-2.0,CI.NBS,-116.557983,34.78035,0.17,55.44,1
1.0-2.0,CI.NCH,-119.67395,34.942699,0.01,942.478,1
1.0-2.0,CI.NEE2,-114.618813,34.76759,0.13,72.498,1
1.0-2.0,CI.NJQ,-120.177368,34.534119,0.16,58.905,1
1.0-2.0,CI.NSS2,-115.945862,33.555531,0.61,15.45,1
1.0-2.0,CI.OAT,-118.614418,34.343609,0.14,67.32,1
1.0-2.0,CI.OCP,-116.01931,32.747551,0.03,314.159,1
1.0-2.0,CI.OLI,-117.923721,33.945389,0.06,157.08,1
1.0-2.0,CI.OLP,-116.930191,32.607712,0.54,17.453,1
1.0-2.0,CI.OSI,-118.723503,34.614498,0.1,94.248,1
1.0-2.0,CI.PALA,-117.031822,33.38905,0.03,314.159,1
1.0-2.0,CI.PDE,-118.582153,34.44199,0.26,36.249,1
1.0-2.0,CI.PDM,-114.141518,34.30336,0.23,40.977,1
1.0-2.0,CI.PDU,-117.638077,34.120701,0.04,235.619,1
1.0-2.0,CI.PEM,-117.870087,34.166889,0.17,55.44,1
1.0-2.0,CI.PER,-117.205292,33.861641,0.05,188.496,1
1.0-2.0,CI.PGA,-117.063499,33.491402,0.02,471.239,1
1.0-2.0,CI.PLM,-116.862648,33.353611,0.24,39.27,1
1.0-2.0,CI.PLR,-115.977745,33.173489,0.2,47.124,1
1.0-2.0,CI.PLS,-117.609062,33.7953,0.16,58.905,1
