,fband,netst,stlo,stla,meanb,meanQ,ncount,nearest_lon,nearest_lat,vs30
105,0.5-1.0,XN.TOL0,-123.999702,44.676399,0.25,18.85,1,-123.9993,44.6773,498.6873
106,0.5-1.0,XU.C04A,-122.971603,47.7174,0.16,29.452,1,-122.9713,47.7172,342.0
107,0.5-1.0,XU.W030,-122.910797,47.813,0.04,117.81,1,-122.9113,47.8132,669.0
108,0.5-1.0,YW.FACB,-122.6464,47.887199,0.01,471.239,1,-122.6474,47.8872,507.0541
109,0.5-1.0,YW.FACG,-123.175797,46.075298,0.02,235.619,1,-123.1753,46.0753,566.5667
110,0.5-1.0,CC.ASBU,-121.368401,43.82056,0.3466666666666667,14.389166666666666,12,-121.3694,43.8213,617.8513
111,0.5-1.0,CC.PANH,-121.642593,46.859032,0.104,104.723,10,-121.6434,46.8593,812.0
112,0.5-1.0,TA.D04D,-122.772301,47.1786,0.01,471.239,1,-122.7733,47.1792,472.6081
113,0.5-1.0,XT.D17,-117.195503,44.1129,0.11,42.84,1,-117.1955,44.1133,476.4318
114,0.5-1.0,XT.D26,-117.058403,44.3097,0.01,471.239,1,-117.0575,44.3093,370.8208
115,0.5-1.0,XT.L16,-116.435699,44.436199,0.26,18.125,1,-116.4355,44.4353,550.564
116,0.5-1.0,XT.L23,-117.800598,44.486301,0.01,471.239,1,-117.8015,44.4873,505.3335
117,0.5-1.0,XT.L25,-118.228203,44.521198,0.01,471.239,1,-118.2275,44.5213,540.6606
118,0.5-1.0,XT.L29,-118.952797,44.427101,0.07,67.32,1,-118.9534,44.4273,536.0
119,0.5-1.0,CC.CIHL,-121.148621,43.750969,0.1418181818181818,35.293,11,-121.1494,43.7513,466.4361
120,0.5-1.0,CC.CPCO,-121.233192,43.722012,0.0745454545454545,65.78999999999999,11,-121.2334,43.7213,576.2423
121,0.5-1.0,CC.NORM,-121.252678,43.73896,0.1263636363636364,75.01363636363635,11,-121.2534,43.7393,776.0
122,0.5-1.0,CC.PRLK,-121.962639,44.209751,0.215,21.93,2,-121.9634,44.2093,420.0126
123,0.5-1.0,CC.SWNB,-121.355347,43.672741,0.1516666666666666,33.72683333333334,6,-121.3554,43.6733,513.0861
124,0.5-1.0,CC.TMBU,-121.144508,43.601891,0.2963636363636363,16.440727272727273,11,-121.1454,43.6013,669.9299
125,0.5-1.0,TA.B05D,-122.096001,48.264099,0.0333333333333333,258.0593333333333,3,-122.0954,48.2632,355.6378
126,0.5-1.0,CC.SWF2,-122.216766,46.178349,0.01,471.239,9,-122.2174,46.1793,900.0
127,0.5-1.0,TA.D03D,-123.089401,47.534698,0.01,471.239,1,-123.0893,47.5352,585.3165
128,0.5-1.0,UW.CCRK,-119.854797,46.558498,0.1685714285714286,32.04785714285714,7,-119.8554,46.5593,401.2963
129,0.5-1.0,UW.PASS,-122.085197,48.998299,0.3483333333333333,15.663000000000002,6,-122.0854,48.9992,458.5718
130,0.5-1.0,UW.YACT,-122.419296,45.932499,0.27,17.453,1,-122.4194,45.9333,571.5884
131,0.5-1.0,UW.DDRF,-119.059502,46.4911,0.2085714285714285,24.338857142857144,7,-119.0594,46.4913,383.1599
132,0.5-1.0,UW.PHIN,-119.927803,45.8951,0.12,42.413,6,-119.9274,45.8953,469.4406
133,0.5-1.0,CC.CLBH,-122.143494,42.907745,0.0925,55.048125,8,-122.1434,42.9074,479.7639
134,0.5-1.0,CC.SHRK,-121.52877,45.464317,0.212,24.6668,5,-121.5294,45.4653,900.0
135,0.5-1.0,TA.C06D,-120.894302,47.922901,0.04,117.81,1,-120.8934,47.9232,386.7527
