netst,stlo,stla
TA.J16A,-111.611900,43.274101
TA.J17A,-110.711800,43.362900
TA.J18A,-110.019997,43.211201
TA.K01A,-124.469200,42.808800
TA.K02A,-123.489799,42.766701
TA.K02D,-123.665398,42.695499
TA.K04A,-121.730698,42.613300
TA.K04D,-121.753502,42.624599
TA.K05A,-120.893402,42.725800
TA.K06A,-120.250999,42.799099
TA.K07A,-119.246902,42.691200
TA.K08A,-118.486397,42.730801
TA.K09A,-117.725098,42.699600
TA.K10A,-116.870499,42.777901
TA.K11A,-116.032303,42.771301
TA.K12A,-114.902901,42.636002
TA.K13A,-114.084000,42.649300
TA.K14A,-113.176003,42.545200
TA.K15A,-112.530502,42.685200
TA.K16A,-111.588402,42.832100
TA.K17A,-110.920097,42.750702
TA.K18A,-110.041702,42.637199
TA.L02A,-123.601799,42.155998
TA.L02D,-123.603104,42.157799
TA.L02E,-123.602898,42.158001
TA.L02F,-123.570702,42.120899
TA.L04A,-121.890999,42.174999
TA.L04D,-122.304604,42.217999
TA.L05A,-120.833603,42.047199
TA.L07A,-119.339798,42.018700
TA.L08A,-118.344498,42.190102
TA.L09A,-117.666702,42.019199
TA.L10A,-116.471100,42.077301
TA.L11A,-115.754097,42.166901
TA.L12A,-115.016197,42.146000
TA.L13A,-113.944397,42.088600
TA.L14A,-113.239799,42.034302
TA.L15A,-112.386002,42.004101
TA.L16A,-111.431900,42.014900
TA.L17A,-110.872704,42.099499
TA.L18A,-110.036400,41.924301
TA.M01C,-124.122101,41.847301
TA.M02C,-122.853798,41.391998
TA.M03C,-122.122002,41.274200
TA.M04C,-121.839302,41.782600
TA.M05C,-121.145699,41.359299
TA.M06C,-120.477203,41.204700
TA.M07A,-119.171097,41.388401
TA.M08A,-118.379204,41.448299
TA.M09A,-117.449699,41.423000
TA.M10A,-116.539597,41.521999
TA.M11A,-115.791199,41.431099
TA.M12A,-114.915100,41.415699
TA.M13A,-114.165497,41.360199
TA.M14A,-113.347099,41.502998
TA.M15A,-112.447701,41.463200
TA.M16A,-111.629799,41.314602
