,fband,netst,stlo,stla,meanb,meanQ,ncount,nearest_lon,nearest_lat,vs30
131,0.5-1.0,CI.PSD,-116.550262,33.823929,0.35,13.464,1,-116.5495,33.8236,704.0178
132,0.5-1.0,CI.PSR,-117.807091,34.091808,0.08,58.905,1,-117.8075,34.0916,516.0885
133,0.5-1.0,CI.PTD,-118.806862,34.004429,0.12,39.27,1,-118.8075,34.0036,422.9087
134,0.5-1.0,CI.PUT,-117.969193,34.691151,0.11,42.84,1,-117.9695,34.6916,349.6158
135,0.5-1.0,CI.QAD,-119.609261,34.423672,0.01,471.239,1,-119.6094,34.4236,399.1582
136,0.5-1.0,CI.QLC,-119.974251,35.04084,0.12,39.27,1,-119.9734,35.0416,350.9268
137,0.5-1.0,CI.RAG,-116.15139,34.682892,0.31,15.201,1,-116.1515,34.6836,560.2457
138,0.5-1.0,CI.RCR,-116.309601,33.36237,0.07,67.32,1,-116.3095,33.3616,878.0
139,0.5-1.0,CI.RHC2,-118.013329,34.00095,0.08,58.905,1,-118.0135,34.0016,538.0756
140,0.5-1.0,CI.RIN,-118.479248,34.28196,0.01,471.239,1,-118.4795,34.2816,332.5385
141,0.5-1.0,CI.RIO,-117.979561,34.104729,0.01,471.239,1,-117.9795,34.1056,510.6449
142,0.5-1.0,CI.RKMO,-117.609467,33.67421,0.08,58.905,1,-117.6095,33.6736,545.2014
143,0.5-1.0,CI.RPV,-118.404121,33.743462,0.13,36.249,1,-118.4035,33.7436,588.9749
144,0.5-1.0,CI.RRC,-117.989861,35.372879,0.29,16.25,1,-117.9895,35.3735,525.321
145,0.5-1.0,CI.RRX,-116.996811,34.874989,0.1,47.124,1,-116.9975,34.8756,370.7848
146,0.5-1.0,CI.RSI,-120.208679,34.85191,0.12,39.27,1,-120.2094,34.8516,355.4759
147,0.5-1.0,CI.RSS,-117.326736,33.97327,0.6,7.854,1,-117.3275,33.9736,349.9617
148,0.5-1.0,CI.RUN,-114.978088,32.972221,0.17,27.72,1,-114.9775,32.9716,447.5251
149,0.5-1.0,CI.RVR,-117.37545,33.993511,0.1,47.124,1,-117.3755,33.9936,565.4113
150,0.5-1.0,CI.RXH,-115.622566,33.183128,0.26,18.125,1,-115.6235,33.1816,175.4037
151,0.5-1.0,CI.RYS,-119.352242,34.64341,0.01,471.239,1,-119.3514,34.6436,827.0
152,0.5-1.0,CI.SAL,-115.985847,33.280102,0.01,471.239,1,-115.9855,33.2796,259.2987
153,0.5-1.0,CI.SBC,-119.71492,34.440762,0.08,58.905,1,-119.7154,34.4416,460.373
154,0.5-1.0,CI.SBI,-119.029861,33.480461,0.06,78.54,1,-119.0294,33.4796,676.9326
155,0.5-1.0,CI.SBPX,-117.23484,34.232399,0.27,17.453,1,-117.2355,34.2316,664.0
156,0.5-1.0,CI.SCI2,-118.546967,32.9799,0.03,157.08,1,-118.5475,32.9796,500.4235
157,0.5-1.0,CI.SDD,-117.661713,33.552589,0.11,42.84,1,-117.6615,33.5516,416.2189
158,0.5-1.0,CI.SDG,-117.138046,32.784,0.09,52.36,1,-117.1375,32.7836,455.6001
159,0.5-1.0,CI.SDR,-116.942413,32.735611,0.02,235.619,1,-116.9415,32.7356,681.5218
160,0.5-1.0,CI.SGL,-115.726379,32.64933,0.15,31.416,1,-115.7255,32.6496,519.6075
161,0.5-1.0,CI.SHO,-116.275299,35.899529,0.06,78.54,1,-116.2755,35.8995,377.7288
162,0.5-1.0,CI.SLB,-115.866432,33.485191,0.42,11.22,1,-115.8655,33.4856,292.407
163,0.5-1.0,CI.SLH,-116.25399,33.192692,0.04,117.81,1,-116.2535,33.1936,404.2763
164,0.5-1.0,CI.SLM,-118.422668,34.452271,0.06,78.54,1,-118.4235,34.4516,474.2629
165,0.5-1.0,CI.SLR,-116.797371,33.833591,0.12,39.27,1,-116.7975,33.8336,539.0
166,0.5-1.0,CI.SMF2,-118.446274,34.022011,0.01,471.239,1,-118.4455,34.0216,366.6461
167,0.5-1.0,CI.SMI,-120.351318,34.038181,0.02,235.619,1,-120.3514,34.0376,452.6376
168,0.5-1.0,CI.SMW,-120.409973,35.011082,0.07,67.32,1,-120.4094,35.0116,674.936
169,0.5-1.0,CI.SNO,-116.807777,34.035149,0.2,23.562,1,-116.8075,34.0356,819.0
170,0.5-1.0,CI.SOC,-117.580132,33.387611,0.07,67.32,1,-117.5795,33.3876,478.534
171,0.5-1.0,CI.SOL2,-118.289001,34.436001,0.16,29.452,1,-118.2895,34.4356,580.6598
172,0.5-1.0,CI.SPF,-118.646141,34.05933,0.14,33.66,1,-118.6455,34.0596,705.0
173,0.5-1.0,CI.SRN,-117.789383,33.828541,0.22,21.42,1,-117.7895,33.8276,340.4983
174,0.5-1.0,CI.SRT,-117.750511,35.692348,0.01,471.239,1,-117.7515,35.6915,422.0535
175,0.5-1.0,CI.STC,-119.18676,34.30302,0.16,29.452,1,-119.1874,34.3036,317.2422
176,0.5-1.0,CI.STS,-118.198776,33.790329,0.04,117.81,1,-118.1995,33.7896,246.8506
177,0.5-1.0,CI.SUN,-117.693939,34.21048,0.15,31.416,1,-117.6935,34.2096,900.0
178,0.5-1.0,CI.SVD,-117.098221,34.106468,0.25,18.85,1,-117.0975,34.1056,624.0
179,0.5-1.0,CI.SWP,-116.097183,32.79184,0.16,29.452,1,-116.0975,32.7916,461.4176
180,0.5-1.0,CI.SWS,-115.799881,32.94508,0.19,24.802,1,-115.7995,32.9456,469.3636
181,0.5-1.0,CI.SYP,-119.97834,34.527748,0.05,94.248,1,-119.9774,34.5276,600.0
182,0.5-1.0,CI.TA2,-117.678223,34.38203,0.2,23.562,1,-117.6775,34.3816,595.0
183,0.5-1.0,CI.THM,-116.077339,33.650661,0.38,12.401,1,-116.0775,33.6516,412.7556
184,0.5-1.0,CI.TIN,-118.230087,37.054218,0.39,12.083,1,-118.2295,35.9995,895.024
185,0.5-1.0,CI.TOW2,-117.764877,35.808559,0.01,471.239,1,-117.7655,35.8095,605.7896
186,0.5-1.0,CI.TPO,-118.228638,34.87883,0.12,39.27,1,-118.2295,34.8796,504.8633
187,0.5-1.0,CI.TUQ,-115.923889,35.435841,0.01,471.239,1,-115.9235,35.4355,538.1359
188,0.5-1.0,CI.VCS,-118.117813,34.483719,0.13,36.249,1,-118.1175,34.4836,385.525
189,0.5-1.0,CI.VDJ,-114.571449,34.189861,0.03,157.08,1,-114.5716,34.1896,859.1379
190,0.5-1.0,CI.VOG,-119.382263,36.32098,0.19,24.802,1,-119.3814,35.9995,212.7145
191,0.5-1.0,CI.VTV,-117.329597,34.56065,0.45,10.472,1,-117.3295,34.5616,455.5627
192,0.5-1.0,CI.WBS,-118.14035,35.53664,0.01,471.239,1,-118.1395,35.5375,599.0
193,0.5-1.0,CI.WES,-115.731613,32.759041,0.07,67.32,1,-115.7315,32.7596,241.9547
194,0.5-1.0,CI.WGR,-119.274071,34.510849,0.06,78.54,1,-119.2734,34.5116,734.0
195,0.5-1.0,CI.WMD,-115.581909,33.038261,0.01,471.239,1,-115.5815,33.0376,205.9027
196,0.5-1.0,CI.WMF,-117.854858,36.11758,0.01,471.239,1,-117.8555,35.9995,669.7823
197,0.5-1.0,CI.WOR,-118.242462,35.695629,0.09,52.36,1,-118.2415,35.6955,614.0
198,0.5-1.0,CI.WSS,-118.649712,34.1717,0.09,52.36,1,-118.6495,34.1716,328.1622
199,0.5-1.0,CI.WTT2,-118.255386,33.948669,0.15,31.416,1,-118.2555,33.9496,266.2565
200,0.5-1.0,CI.WWC,-116.40876,33.940681,0.06,78.54,1,-116.4095,33.9416,690.8995
201,0.5-1.0,CI.XTL2,-117.862488,34.295959,0.01,471.239,1,-117.8615,34.2956,826.0
202,0.5-1.0,CI.YEG2,-119.963058,35.438309,0.09,52.36,1,-119.9634,35.4375,496.6691
203,1.0-2.0,CI.ALP,-118.299461,34.68708,0.06,157.08,1,-118.2995,34.6876,346.61
204,1.0-2.0,CI.ARV,-118.830093,35.1269,0.44,21.42,1,-118.8294,35.1276,350.1552
205,1.0-2.0,CI.BBR,-116.920753,34.262299,0.07,134.64,1,-116.9215,34.2616,355.069
206,1.0-2.0,CI.BBS,-116.980583,33.921391,0.09,104.72,1,-116.9815,33.9216,341.0904
207,1.0-2.0,CI.BCW,-119.413132,34.94009,0.01,942.478,1,-119.4134,34.9396,359.1823
208,1.0-2.0,CI.BFS,-117.658531,34.238831,0.14,67.32,1,-117.6595,34.2396,900.0
209,1.0-2.0,CI.BHP,-118.36171,33.990528,0.06,157.08,1,-118.3615,33.9896,308.8676
210,1.0-2.0,CI.BLC,-118.673119,34.243561,0.25,37.699,1,-118.6735,34.2436,546.5072
211,1.0-2.0,CI.BLY,-114.52375,33.750301,0.03,314.159,1,-114.5236,33.7496,506.3247
212,1.0-2.0,CI.BRE,-117.981163,33.807758,0.07,134.64,1,-117.9815,33.8076,231.8967
213,1.0-2.0,CI.BTP,-118.573982,34.68224,0.02,471.239,1,-118.5735,34.6816,589.0
214,1.0-2.0,CI.CAR,-119.845833,35.308189,0.03,314.159,1,-119.8454,35.3076,333.844
215,1.0-2.0,CI.CCA,-118.016487,35.152519,0.05,188.496,1,-118.0155,35.1516,504.993
216,1.0-2.0,CI.CCC,-117.364532,35.524948,0.01,942.478,1,-117.3655,35.5255,430.8667
217,1.0-2.0,CI.CDM,-119.341438,34.368549,0.14,67.32,1,-119.3414,34.3676,479.1832
218,1.0-2.0,CI.CGO,-117.802948,36.5504,0.01,942.478,1,-117.8035,35.9995,568.413
219,1.0-2.0,CI.CHI,-119.222443,34.181561,0.3,31.416,1,-119.2234,34.1816,257.1536
220,1.0-2.0,CI.CHK,-118.971184,34.067135,0.26,36.249,1,-118.9714,34.0676,756.0
221,1.0-2.0,CI.CHL,-117.683685,33.910843,0.15,62.832,1,-117.6835,33.9116,485.7091
222,1.0-2.0,CI.CHR,-119.392693,34.729019,0.37,25.472,1,-119.3934,34.7296,370.2325
223,1.0-2.0,CI.CIA,-118.415024,33.401897,0.24,39.27,1,-118.4155,33.4016,505.574
224,1.0-2.0,CI.CJM,-117.424477,34.271172,0.3,31.416,1,-117.4235,34.2716,723.0
225,1.0-2.0,CI.CJV2,-118.144501,34.529781,0.18,52.36,1,-118.1455,34.5296,693.0
226,1.0-2.0,CI.CKP,-114.890404,33.555069,0.14,67.32,1,-114.8896,33.5556,369.2024
227,1.0-2.0,CI.CLO,-119.008911,34.220379,0.01,942.478,1,-119.0094,34.2196,299.9851
228,1.0-2.0,CI.CLT,-117.316872,34.092838,0.24,39.27,1,-117.3175,34.0936,268.8243
229,1.0-2.0,CI.CPT2,-117.32502,33.341831,0.01,942.478,1,-117.3255,33.3416,485.7788
230,1.0-2.0,CI.CRG,-119.724861,35.242199,0.28,33.66,1,-119.7254,35.2416,611.531
231,1.0-2.0,CI.CRR,-115.969177,32.886822,0.07,134.64,1,-115.9695,32.8876,442.7647
232,1.0-2.0,CI.CRY,-119.628098,34.778252,0.22,42.84,1,-119.6274,34.7776,750.0
233,1.0-2.0,CI.CTC,-115.990059,33.655159,0.11,85.68,1,-115.9895,33.6556,392.9432
234,1.0-2.0,CI.CTW,-115.872139,33.67728,0.3,31.416,1,-115.8715,33.6776,453.8113
235,1.0-2.0,CI.CVW,-118.939133,34.922169,0.12,78.54,1,-118.9394,34.9216,900.0
236,1.0-2.0,CI.CWP,-117.557747,33.557976,0.13,72.498,1,-117.5575,33.5576,546.6932
237,1.0-2.0,CI.CZN,-116.784088,33.91375,0.02,471.239,1,-116.7835,33.9136,559.7493
238,1.0-2.0,CI.DAN,-115.381149,34.637451,0.18,52.36,1,-115.3815,34.6376,474.0194
239,1.0-2.0,CI.DEC,-118.333832,34.253529,0.19,49.604,1,-118.3335,34.2536,486.3673
240,1.0-2.0,CI.DEV,-116.577942,33.93597,0.08,117.81,1,-116.5775,33.9356,500.5821
241,1.0-2.0,CI.DGR,-117.009468,33.650009,0.01,942.478,1,-117.0095,33.6496,558.4363
242,1.0-2.0,CI.DLA,-118.096237,33.848221,0.05,188.496,1,-118.0955,33.8476,237.8214
243,1.0-2.0,CI.DNR,-116.630562,33.566669,0.23,40.977,1,-116.6315,33.5676,385.9803
244,1.0-2.0,CI.DZA,-116.774773,32.606571,0.57,16.535,1,-116.7755,32.6056,702.5541
245,1.0-2.0,CI.EOC,-119.769409,34.450291,0.01,942.478,1,-119.7694,34.4496,552.4824
246,1.0-2.0,CI.ERR,-115.82267,33.116749,0.31,30.403,1,-115.8235,33.1176,218.6029
247,1.0-2.0,CI.FDR,-118.934334,35.64262,0.03,314.159,1,-118.9334,35.6435,409.2831
248,1.0-2.0,CI.FHO,-116.935883,34.093552,0.14,67.32,1,-116.9355,34.0936,608.0
249,1.0-2.0,CI.FMP,-118.293808,33.712639,0.24,39.27,1,-118.2935,33.7136,293.6031
250,1.0-2.0,CI.FOX2,-118.240463,34.733898,0.01,942.478,1,-118.2395,34.7336,369.0501
251,1.0-2.0,CI.FRK,-115.638351,33.402088,0.16,58.905,1,-115.6375,33.4016,271.6586
252,1.0-2.0,CI.FUR,-116.86322,36.46703,0.12,78.54,1,-116.8635,35.9995,448.282
253,1.0-2.0,CI.GATR,-120.50235,34.552662,0.25,37.699,1,-120.5014,34.5536,652.8488
254,1.0-2.0,CI.GDF,-118.916763,34.479301,0.01,942.478,1,-118.9174,34.4796,430.7522
255,1.0-2.0,CI.GFS,-120.214355,34.476604,0.26,36.249,1,-120.2134,34.4776,668.0
256,1.0-2.0,CI.GLA,-114.827057,33.051491,0.23,40.977,1,-114.8276,33.0516,517.0
